prompt,target,prediction
"Hi, could you get me a restaurant booking on the 8th please? [REQUEST(time=); REQUEST(restaurant_name=); REQUEST(location=)]","Any preference on the restaurant, location and time?",Is there any other restaurant in the area?
Could you get me a reservation at P.f. Chang's in Corte Madera at afternoon 12? [CONFIRM(restaurant_name=P.f. Chang's); CONFIRM(location=Corte Madera); CONFIRM(time=12 pm); CONFIRM(date=March 8th); CONFIRM(number_of_seats=2)],Please confirm your reservation at P.f. Chang's in Corte Madera at 12 pm for 2 on March 8th.,Is there a reservation for P.f. Chang's in Corte Madera at 12 pm?
"Sure, that is great. [NOTIFY_FAILURE; REQ_MORE]","Sorry, your reservation could not be made. Could I help you with something else?",Is there anything else I can do to help you with?
Could you try booking a table at Benissimo instead? [CONFIRM(restaurant_name=Benissimo Restaurant & Bar); CONFIRM(location=Corte Madera); CONFIRM(time=12 pm); CONFIRM(date=March 8th); CONFIRM(number_of_seats=2)],"Sure, please confirm your reservation at Benissimo Restaurant & Bar in Corte Madera at 12 pm for 2 on March 8th.",Can you help you with your booking at Benissimo Restaurant & Bar?
"Sure, may I know if they have vegetarian options and how expensive is their food? [INFORM(price_range=moderate); INFORM(has_vegetarian_options=False); NOTIFY_SUCCESS]","Your reservation has been made. Unfortunately, they do not serve vegetarian options, although they are moderate priced.",Is there anything else I can do to help them with?
"I see, thanks alot! [REQ_MORE]","No worries, could I further assist you?",[REQ_MORE]
"No, that is all. Thank you! [GOODBYE]",Have a great day ahead!,Thank you!
Can you book a table for me at the Ancient Szechuan for the 11th of this month at 11:30 am? [REQUEST(location=)],In which city are you trying to book the table?,Can you book a table for me at the Ancient Szechuan for the 11th of this month at 11:30 am?
Can you book a table at the Butterfly restaurant in San Francisco? [CONFIRM(restaurant_name=Butterfly Restaurant); CONFIRM(location=San Francisco); CONFIRM(time=11:30 am); CONFIRM(date=March 11th); CONFIRM(number_of_seats=2)],Please confirm that you need a table for 2 at the Butterfly Restaurant in San Francisco at 11:30 am on March 11th.,Can you book a table at the Butterfly restaurant in San Francisco?
That's perfect. What cuisine do they offer? [INFORM(category=Asian); NOTIFY_SUCCESS],Your table has been booked successfully and they serve Asian cuisine.,What cuisine do they offer?
Can you get me the user rating of the restaurant? Is it expensive? [INFORM(rating=4.0); INFORM(price_range=moderate)],Their prices are moderate and they have a user rating of 4.0.,Is it expensive?
Thanks a bunch! [REQ_MORE],Is there anything else I can do for you?,Thanks for the great work!
No. Thank you. That's all I need. [GOODBYE],Have a great day!,I'm sorry.
"Can you check restaurants in Pacifica, I'm looking to make a reservation. [REQUEST(restaurant_name=); REQUEST(time=)]",Is there a particular restaurant you want? What time did you want the reservation?,Can you check restaurants in Pacifica?
See if you can get one at Puerto 27 for 1:15 pm. [CONFIRM(restaurant_name=Puerto 27); CONFIRM(location=Pacifica); CONFIRM(time=1:15 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],To verify: You would like a reseravation at Puerto 27 in Pacifica for 1:15 pm on March 1st for 2.,Is there anything else I can help you with?
Yes that's right. [NOTIFY_SUCCESS],Your table is reserved.,"Yes, that's right."
Thanks so much. That's all I need for now. [GOODBYE],Have a great day.,I'm glad you have a great day.
I need to book a dinner reservation for a date. Help me reserve a table at a restaurant. [REQUEST(location=); REQUEST(time=)],What time and location do you have in mind?,I need to book a table at a restaurant.
"Something around 8 in the night should be fine. Oh, and look in the San Jose area. [REQUEST(restaurant_name=)]",Do you have a specific restaurant in mind?,The food is good.
Let's try booking a table at Little Hunan. [CONFIRM(restaurant_name=Little Hunan); CONFIRM(location=San Jose); CONFIRM(time=8 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],You wish to reserve a table for 2 at Little Hunan in San Jose on March 1st at 8 pm. Is that correct?,Let's try booking a table at Little Hunan at 8 pm.
It sure is. Please make the reservation right away. [NOTIFY_FAILURE; REQ_MORE],I was not able to process your reservation. I apologize for any inconvenience.,Please make the reservation right away.
Okay. Try booking a table at Little Hunan again but make it at a quarter past 5 in the evening. [CONFIRM(restaurant_name=Little Hunan); CONFIRM(location=San Jose); CONFIRM(time=5:15 pm); CONFIRM(date=March 1st); CONFIRM(number_of_seats=2)],Booking a table at Little Hunan located in San Jose. The reservation is for 2 people on March 1st at 5:15 pm. Is that right?,.. Little Hunan at 5:15 pm.2 at Little Hunan at Little Hunan. 5:15 pm.2 at Little Hunan at Little Hunan at the time of booking.
That's correct. Let's hope the reservation goes through this time. [OFFER(restaurant_name=Little Hunan); OFFER(number_of_seats=2); OFFER(date=March 1st); OFFER(time=5 pm); NOTIFY_FAILURE],"I was unable to book your table with those details. If you like, I can make a reservation for you at Little Hunan on March 1st at 5 pm for 2 people.",(date=March 1st); OFFER(time=5 pm); NOTIFY_FAILURE]
Really? That'll work just fine. Please try that. [NOTIFY_SUCCESS],I have made your reservation and successfully reserved your table.,I'm going to try that.
"At last. Thank you so much. Before I let you go, can you tell me the restaurant's user rating? [INFORM(rating=3.9)]",The user rating for Little Hunan is 3.9.,Is there anything else I can do to help you with?
Are there any vegetarian dishes available at that restaurant? [INFORM(has_vegetarian_options=False)],I apologize but they do not have vegetarian dishes.,Are there any vegetarian dishes available at that restaurant?
That's alright. Thanks for the information. [REQ_MORE],My pleasure. What else do you require?,Thanks for the information.
Oh nothing. Booking the table was all I needed. Thanks again. [GOODBYE],Have a wonderful evening.,I have a great day.
Can you book a reservation for a restaurant at this evening 5:30? [REQUEST(restaurant_name=)],At which restaurant would you like to make a reservation?,Can you book a reservation for a restaurant at this evening 5:30?
See if you can get a table at Mi Zacatecas. [REQUEST(location=)],In which location is Mi Zacatecas?,See if you can get a table at Mi Zacatecas.
